PFT,Site,Latitude,Longitude,Time,Citation,citekey
Evergreen,AR-Vir,-28.2395,-56.1886,2009-2012,"(Posse et al., 2016)",
needleleaf,AU-ASM,-22.283,133.249,2010-2013,"(Cleverly, 2011)",
forest,CA-NS1,55.8792,-98.4839,2002-2005,"(Goulden, 2016a)",
(ENF),CA-NS3,55.9117,-98.3822,2001-2005,"(Goulden, 2016b)",
,CA-NS4,55.9117,-98.3822,2002-2005,"(Goulden, 2016c)",
,CA-NS5,55.8631,-98.485,2001-2005,"(Goulden, 2016d)",
,CA-Qfo,49.6925,-74.3421,2003-2010,"(Margolis, 2016)",
,CA-SF1,54.485,-105.818,2003-2006,"(Amiro, 2016a)",
,CA-SF2,54.2539,-105.878,2001-2005,"(Amiro, 2016b)",
,CN-Qia,26.7414,115.0581,2003-2005,"(Yu et al., 2006)",
,CZ-BK1,49.5021,18.5369,2000-2012,"(Pavelka et al., 2007)",
,DE-Lkb,49.0996,13.3047,2009-2013,"(Lindauer et al., 2014)",
,DE-Obe,50.7836,13.7196,2008-2014,"(Zimmermann et al., 2006)",
,DE-Tha,50.9636,13.5669,2000-2014,"(Gruenwald & Bernhofer, 2007)",
,FI-Hyy,61.8475,24.295,2000-2014,"(Vesala et al., 2005)",
,IT-La2,45.9542,11.2853,2000-2002,"(Cescatti & Zorer, 2003)",
,IT-Lav,45.9562,11.2813,2003-2012,"(Cescatti & Zorer, 2003)",
,IT-Ren,46.5869,11.4337,2000-2013,"(Marcolla et al., 2005)",
,IT-SR2,43.732,10.291,2013-2014,"(Matteucci et al., 2015)",
,IT-SRo,43.7279,10.2844,2000-2012,"(Matteucci et al., 2015)",
,NL-Loo,52.1666,5.7436,1996-2013,"(Dolman et al., 2002)",
,RU-Fyo,56.4615,32.9221,2000-2013,"(Kurbatova et al., 2008)",
,US-Blo,38.8953,-120.633,2000-2007,"(Goldstein et al., 2000)",
,US-Me6,44.3233,-121.608,2010-2012,"(Law, 2016)",
Evergreen,AU-Cum,-33.6133,150.7225,2012-2013,"(Pendall, 2015)",
broadleaf,AU-Rob,-17.1175,145.6301,2014-2014,"(Liddell, 2013)",
forest,AU-Tum,-35.6566,148.1517,2001-2013,"(van Gorsel, 2013)",
(EBF),AU-Whr,-36.6732,145.0294,2011-2013,"(Beringer, 2013f)",
,BR-Sa3,-3.018,-54.9714,2000-2004,"(Miller et al., 2004)",
,CN-Din,23.1733,112.5361,2003-2005,"(Yu et al., 2006)",
,FR-Pue,43.7414,3.5958,2000-2013,"(Rambal et al., 2004)",
,GF-Guy,5.2788,-52.9249,2004-2012,"(Bonal et al., 2008)",
,IT-Cp2,41.7043,12.3573,2012-2013,"(Fares & Loreto, 2015)",
Deciduous,DE-Hai,51.0792,10.453,2000-2012,"(Knohl et al., 2003)",
broadleaf,DK-Sor,55.4859,11.6446,2000-2012,"(Pilegaard et al., 2001)",
forest,IT-CA1,42.3804,12.0266,2011-2013,"(Sabbatini et al., 2016)",
(DBF),IT-CA3,42.38,12.0222,2011-2013,"(Sabbatini et al., 2016)",
,IT-Isp,45.8126,8.6336,2013-2014,"(Ferrea et al., 2012)",
,IT-PT1,45.2009,9.061,2002-2004,"(Migliavacca et al., 2009)",
,IT-Ro1,42.4081,11.93,2000-2008,"(Rey et al., 2002)",
,IT-Ro2,42.3903,11.9209,2002-2012,"(Tedeschi et al., 2006)",
,JP-MBF,44.3869,142.3186,2003-2005,"(Yamazaki et al., 2013)",
,US-Ha1,42.5378,-72.1715,2000-2012,"(Urbanski et al., 2007)",
,US-MMS,39.3232,-86.4131,2000-2014,"(Philip & Novick, 2016)",
,US-UMd,45.5625,-84.6975,2007-2014,"(Curtis & Gough, 2016)",
,US-WCr,45.8059,-90.0799,2000-2014,"(Desai, 2016c)",
